D,N1,N2,N3,N4,N5,N6,N7,W
20040212,3,10,18,21,29,36,42
20040216,6,8,22,39,40,41,45
20040219,5,8,15,17,21,35,36
20040223,6,20,21,23,28,38,39
20040226,3,10,16,25,26,40,44
20040301,14,20,22,25,27,28,29
20040304,2,6,7,25,40,41,43
20040308,2,17,18,19,21,42,44
20040311,10,18,24,26,34,36,43
20040315,1,9,13,16,32,35,45
20040318,6,17,21,31,40,42,43
20040322,16,21,22,23,27,28,35
20040325,6,13,18,20,37,38,43
20040329,1,2,6,7,19,24,32
20040401,3,9,27,28,31,39,40
20040405,4,7,12,13,15,16,33
20040408,4,11,25,30,33,36,39
20040412,2,8,10,16,29,32,37
20040415,2,3,9,19,26,32,34
20040419,10,15,18,26,36,39,45
20040422,5,6,8,14,23,26,37
20040426,7,15,18,24,25,37,41
20040429,6,10,18,22,31,32,43
20040503,3,4,9,12,20,33,37
20040506,5,11,20,23,27,30,34
20040510,2,6,8,16,19,21,41
20040513,11,13,16,21,24,35,45
20040517,2,6,10,13,17,21,28
20040520,17,20,23,25,32,36,45
20040524,6,7,16,21,33,40,44
20040527,1,4,12,13,18,35,37
20040531,2,7,8,24,26,29,36
20040603,8,13,20,28,30,41,43
20040607,3,5,10,26,29,33,43
20040610,2,10,11,28,29,39,40
20040614,2,6,17,21,25,28,30
20040617,9,12,15,27,30,32,36
20040621,10,21,23,24,30,36,40
20040624,10,13,17,20,24,39,43
20040628,11,13,17,30,37,38,41
20040701,3,11,15,16,22,42,43
20040705,9,10,11,15,18,34,43
20040708,1,3,12,21,27,32,40
20040712,5,6,9,18,40,41,42
20040715,2,4,6,19,37,38,40
20040719,11,12,13,20,33,43,44
20040722,4,19,21,24,30,35,45
20040726,7,24,31,32,33,39,45
20040729,1,7,15,20,26,39,44
20040802,1,7,8,18,28,29,40
20040805,14,25,27,28,30,32,41
20040809,5,16,19,20,21,32,41
20040812,4,14,27,33,35,37,38
20040816,11,12,22,23,28,33,37
20040819,13,15,17,18,26,34,44
20040823,13,14,17,29,32,37,41
20040826,1,7,11,20,21,33,36
20040830,1,5,12,30,38,41,43
20040902,3,23,24,27,33,36,45
20040906,6,9,11,13,15,16,25
20040909,9,14,18,21,26,29,30
20040913,2,9,20,23,28,39,40
20040916,5,7,20,32,33,35,42
20040920,2,11,13,25,26,29,31
20040923,4,7,19,37,38,41,43
20040927,3,4,10,16,33,37,42
20040930,13,17,22,30,31,42,43
20041004,10,11,18,30,37,38,39
20041007,7,17,23,30,36,38,42
20041011,2,13,16,32,37,38,40
20041014,24,30,31,34,35,41,45
20041018,9,10,13,17,23,28,29
20041021,3,5,16,21,28,29,43
20041025,8,15,19,20,24,41,44
20041028,15,25,31,32,38,43,45
20041101,3,5,9,23,32,43,45
20041104,2,8,11,14,15,16,34
20041108,3,10,18,31,34,35,43
20041111,11,14,16,17,21,33,40
20041115,2,14,22,30,33,34,37
20041118,3,11,12,21,32,40,45
20041122,13,15,18,20,26,31,45
20041125,1,15,17,28,39,42,44
20041129,11,17,18,30,31,35,41
20041202,4,6,12,18,20,23,31
20041206,4,11,12,20,22,35,37
20041209,2,6,11,17,19,33,43
20041213,2,11,20,23,27,33,42
20041216,6,12,15,20,30,40,41
20041220,4,7,12,15,22,23,38
20041223,13,14,17,25,33,38,44
20041227,1,16,17,26,34,39,43
20041230,6,7,9,21,23,33,44
20050103,17,21,31,34,35,37,38
20050106,3,6,13,20,28,42,45
20050110,10,12,27,29,39,40,45
20050113,7,10,14,21,25,28,44
20050117,6,14,27,29,32,39,45
20050120,15,28,30,33,34,36,44
20050124,12,14,16,20,32,39,42
20050127,2,5,12,16,37,40,42
20050131,11,13,16,19,23,25,44
20050203,6,17,22,29,37,38,40
20050207,6,17,23,25,38,40,41
20050210,14,17,25,30,37,39,42
20050214,5,15,30,34,42,43,44
20050217,5,12,13,30,31,39,43
20050221,3,4,14,25,27,33,41
20050224,6,8,25,38,43,44,45
20050228,4,7,12,20,24,25,42
20050303,7,12,13,31,33,35,41
20050307,2,10,17,22,25,34,45
20050310,5,6,8,12,14,28,31
20050314,1,15,25,26,29,44,45
20050317,7,10,17,25,27,28,43
20050321,1,9,12,18,20,33,34
20050324,4,14,17,18,28,30,38
20050328,4,19,20,21,27,33,35
20050331,2,4,12,21,27,37,43
20050404,2,20,21,22,27,35,37
20050407,7,10,11,30,33,38,41
20050411,6,13,15,18,23,31,32
20050414,10,28,29,35,37,41,44
20050418,1,8,10,13,21,24,39
20050421,3,10,14,15,30,33,38
20050425,4,6,13,17,20,39,40
20050428,5,12,25,33,37,38,43
20050502,4,10,13,16,18,20,36
20050505,1,5,7,11,14,22,36
20050509,4,9,12,16,18,40,44
20050512,7,9,14,20,33,39,43
20050516,4,9,19,24,27,31,41
20050519,1,7,16,18,19,32,38
20050523,1,4,6,8,10,29,41
20050526,7,8,10,19,25,26,36
20050530,3,16,17,19,25,42,43
20050602,5,8,9,18,26,30,41
20050606,1,2,18,19,27,36,37
20050609,7,20,23,26,36,40,43
20050613,9,14,27,28,34,36,45
20050616,2,5,20,22,27,35,45
20050620,4,11,22,23,28,34,35
20050623,5,10,11,16,28,31,42
20050627,8,11,22,30,37,41,45
20050630,1,5,11,17,20,29,37
20050704,2,4,16,17,34,43,45
20050707,2,3,7,11,17,26,39
20050711,10,18,19,25,32,34,41
20050714,1,18,21,25,26,30,37
20050718,1,4,5,16,19,20,31
20050721,5,6,9,10,33,37,40
20050725,11,12,16,24,34,36,45
20050728,4,8,17,30,32,38,40
20050801,7,8,10,13,20,36,39
20050804,1,11,20,26,36,38,44
20050808,5,6,16,20,27,35,36
20050811,3,5,12,23,35,38,42
20050815,1,3,7,14,27,42,44
20050818,1,4,12,18,20,22,35
20050822,3,29,30,32,35,41,44
20050825,5,14,18,31,37,39,42
20050829,4,8,14,15,24,25,31
20050901,1,10,14,19,20,24,41
20050905,9,12,13,17,18,32,37
20050908,11,16,17,22,31,36,38
20050912,11,15,16,20,24,28,38
20050915,2,3,5,10,15,23,28
